"Fragment","Date.0","Genotype.0","Tank.0","A_Tank.0","Nutrients.0","Disease.0","YII.0","Sample.0","Date.2","Genotype.2","Tank.2","A_Tank.2","Nutrients.2","Disease.2","YII.2","Sample.2","Date.3","Genotype.3","Tank.3","A_Tank.3","Nutrients.3","Disease.3","YII.3","Sample.3","Date.4","Genotype.4","Tank.4","A_Tank.4","Nutrients.4","Disease.4","YII.4","Sample.4","Date.5","Genotype.5","Tank.5","A_Tank.5","Nutrients.5","Disease.5","YII.5","Sample.5","Date.6","Genotype.6","Tank.6","A_Tank.6","Nutrients.6","Disease.6","YII.6","Sample.6","Date.7","Genotype.7","Tank.7","A_Tank.7","Nutrients.7","Disease.7","YII.7","Sample.7","Date.8","Genotype.8","Tank.8","A_Tank.8","Nutrients.8","Disease.8","YII.8","Sample.8","Date.9","Genotype.9","Tank.9","A_Tank.9","Nutrients.9","Disease.9","YII.9","Sample.9","Date.10","Genotype.10","Tank.10","A_Tank.10","Nutrients.10","Disease.10","YII.10","Sample.10","Date.11","Genotype.11","Tank.11","A_Tank.11","Nutrients.11","Disease.11","YII.11","Sample.11","Date.12","Genotype.12","Tank.12","A_Tank.12","Nutrients.12","Disease.12","YII.12","Sample.12","Date.13","Genotype.13","Tank.13","A_Tank.13","Nutrients.13","Disease.13","YII.13","Sample.13"
"251","2020-08-12","FM6","4","6","Ambient","Placebo",0.681,"2020-08-12_251","2020-09-02","FM6","6","6","Ambient","Placebo",0.65,"2020-09-02_251","2020-09-11","FM6","6","6","Ambient","Placebo",0.549,"2020-09-11_251","2020-09-18","FM6","6","6","Ambient","Placebo",0.521,"2020-09-18_251","2020-09-22","FM6","6","6","Ambient","Placebo",0.492,"2020-09-22_251","2020-09-25","FM6","6","6","Ambient","Placebo",0.534,"2020-09-25_251","2020-10-02","FM6","6","6","Ambient","Placebo",0.506,"2020-10-02_251","2020-10-09","FM6","6","6","Ambient","Placebo",0.499,"2020-10-09_251","2020-10-15","FM6","6","6","Ambient","Placebo",0.585,"2020-10-15_251","2020-10-23","FM6","6","6","Ambient","Placebo",0.532,"2020-10-23_251",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","6","6","Ambient","Placebo",0.517,"2020-10-30_251","2020-11-06","FM6","5","6","Ambient","Pathogen",0.46,"2020-11-06_251"
"252","2020-08-12","FM6","4","5","Ambient","Placebo",0.703,"2020-08-12_252","2020-09-02","FM6","5","5","Ambient","Placebo",0.681,"2020-09-02_252","2020-09-11","FM6","5","5","Ambient","Placebo",0.618,"2020-09-11_252","2020-09-18","FM6","5","5","Ambient","Placebo",0.612,"2020-09-18_252","2020-09-22","FM6","5","5","Ambient","Placebo",0.588,"2020-09-22_252","2020-09-25","FM6","5","5","Ambient","Placebo",0.603,"2020-09-25_252","2020-10-02","FM6","5","5","Ambient","Placebo",0.593,"2020-10-02_252","2020-10-09","FM6","5","5","Ambient","Placebo",0.588,"2020-10-09_252","2020-10-15","FM6","5","5","Ambient","Placebo",0.606,"2020-10-15_252","2020-10-23","FM6","5","5","Ambient","Placebo",0.575,"2020-10-23_252",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","5","5","Ambient","Placebo",0.574,"2020-10-30_252","2020-11-06","FM6","4","5","Ambient","Placebo",0.501,"2020-11-06_252"
"253","2020-08-12","FM6","4","7","NH4","Pathogen",0.715,"2020-08-12_253","2020-09-02","FM6","1","7","NH4","Pathogen",0.618,"2020-09-02_253","2020-09-11","FM6","1","7","NH4","Pathogen",0.619,"2020-09-11_253","2020-09-18","FM6","7","7","NH4","Pathogen",0.58,"2020-09-18_253","2020-09-22","FM6","7","7","NH4","Pathogen",0.58,"2020-09-22_253","2020-09-25","FM6","7","7","NH4","Pathogen",0.586,"2020-09-25_253","2020-10-02","FM6","7","7","NH4","Pathogen",0.564,"2020-10-02_253","2020-10-09","FM6","7","7","NH4","Pathogen",0.595,"2020-10-09_253","2020-10-15","FM6","3","7","NH4","Pathogen",0.607,"2020-10-15_253","2020-10-23","FM6","3","7","NH4","Pathogen",0.617,"2020-10-23_253",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","3","7","NH4","Pathogen",0.594,"2020-10-30_253",NA,NA,NA,NA,NA,NA,NA,NA
"254","2020-08-12","FM6","4","3","NH4","Placebo",0.7,"2020-08-12_254","2020-09-02","FM6","7","3","NH4","Placebo",0.66,"2020-09-02_254","2020-09-11","FM6","3","3","NH4","Placebo",0.595,"2020-09-11_254","2020-09-18","FM6","3","3","NH4","Placebo",0.624,"2020-09-18_254","2020-09-22","FM6","3","3","NH4","Placebo",0.598,"2020-09-22_254","2020-09-25","FM6","3","3","NH4","Placebo",0.617,"2020-09-25_254","2020-10-02","FM6","3","3","NH4","Placebo",0.572,"2020-10-02_254","2020-10-09","FM6","3","3","NH4","Placebo",0.574,"2020-10-09_254","2020-10-15","FM6","7","3","NH4","Placebo",0.6,"2020-10-15_254","2020-10-23","FM6","7","3","NH4","Placebo",0.587,"2020-10-23_254",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","7","3","NH4","Placebo",0.589,"2020-10-30_254","2020-11-06","FM6","6","3","NH4","Placebo",0.505,"2020-11-06_254"
"256","2020-08-12","FM6","4","5","Ambient","Pathogen",0.689,"2020-08-12_256","2020-09-02","FM6","5","5","Ambient","Pathogen",0.636,"2020-09-02_256","2020-09-11","FM6","5","5","Ambient","Pathogen",0.601,"2020-09-11_256","2020-09-18","FM6","5","5","Ambient","Pathogen",0.557,"2020-09-18_256","2020-09-22","FM6","5","5","Ambient","Pathogen",0.582,"2020-09-22_256","2020-09-25","FM6","5","5","Ambient","Pathogen",0.564,"2020-09-25_256","2020-10-02","FM6","5","5","Ambient","Pathogen",0.56,"2020-10-02_256","2020-10-09","FM6","5","5","Ambient","Pathogen",0.553,"2020-10-09_256","2020-10-15","FM6","1","5","Ambient","Pathogen",0.581,"2020-10-15_256","2020-10-23","FM6","1","5","Ambient","Pathogen",0.576,"2020-10-23_256",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","1","5","Ambient","Pathogen",0.541,"2020-10-30_256","2020-11-06","FM6","1","5","Ambient","Pathogen",0.53,"2020-11-06_256"
"257","2020-08-12","FM6","4","Holding","Extra","Extra",0.694,"2020-08-12_257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","2020-08-12","FM6","4","3","NH4","Placebo",0.697,"2020-08-12_258","2020-09-02","FM6","7","3","NH4","Placebo",0.589,"2020-09-02_258","2020-09-11","FM6","3","3","NH4","Placebo",0.577,"2020-09-11_258","2020-09-18","FM6","3","3","NH4","Placebo",0.599,"2020-09-18_258","2020-09-22","FM6","3","3","NH4","Placebo",0.523,"2020-09-22_258","2020-09-25","FM6","3","3","NH4","Placebo",0.513,"2020-09-25_258","2020-10-02","FM6","3","3","NH4","Placebo",0.503,"2020-10-02_258","2020-10-09","FM6","3","3","NH4","Placebo",0.495,"2020-10-09_258","2020-10-15","FM6","7","3","NH4","Placebo",0.548,"2020-10-15_258","2020-10-23","FM6","7","3","NH4","Placebo",0.574,"2020-10-23_258",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","7","3","NH4","Placebo",0.578,"2020-10-30_258","2020-11-06","FM6","6","3","NH4","Placebo",0.574,"2020-11-06_258"
"260","2020-08-12","FM6","4","2","Ambient","Placebo",0.685,"2020-08-12_260","2020-09-02","FM6","8","2","Ambient","Placebo",0.621,"2020-09-02_260","2020-09-11","FM6","8","2","Ambient","Placebo",0.551,"2020-09-11_260","2020-09-18","FM6","2","2","Ambient","Placebo",0.606,"2020-09-18_260","2020-09-22","FM6","2","2","Ambient","Placebo",0.557,"2020-09-22_260","2020-09-25","FM6","2","2","Ambient","Placebo",0.572,"2020-09-25_260","2020-10-02","FM6","2","2","Ambient","Placebo",0.555,"2020-10-02_260","2020-10-09","FM6","2","2","Ambient","Placebo",0.537,"2020-10-09_260","2020-10-15","FM6","6","2","Ambient","Placebo",0.547,"2020-10-15_260","2020-10-23","FM6","6","2","Ambient","Placebo",0.536,"2020-10-23_260",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","6","2","Ambient","Placebo",0.546,"2020-10-30_260","2020-11-06","FM6","5","2","Ambient","Pathogen",0.526,"2020-11-06_260"
"261","2020-08-12","FM6","4","4","NH4","Placebo",0.688,"2020-08-12_261","2020-09-02","FM6","4","4","NH4","Placebo",0.656,"2020-09-02_261","2020-09-11","FM6","4","4","NH4","Placebo",0.605,"2020-09-11_261","2020-09-18","FM6","4","4","NH4","Placebo",0.61,"2020-09-18_261","2020-09-22","FM6","4","4","NH4","Placebo",0.561,"2020-09-22_261","2020-09-25","FM6","4","4","NH4","Placebo",0.579,"2020-09-25_261","2020-10-02","FM6","4","4","NH4","Placebo",0.553,"2020-10-02_261","2020-10-09","FM6","4","4","NH4","Placebo",0.583,"2020-10-09_261","2020-10-15","FM6","8","4","NH4","Placebo",0.571,"2020-10-15_261","2020-10-23","FM6","8","4","NH4","Placebo",0.564,"2020-10-23_261",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","8","4","NH4","Placebo",0.586,"2020-10-30_261","2020-11-06","FM6","6","4","NH4","Placebo",0.518,"2020-11-06_261"
"266","2020-08-12","FM6","4","4","NH4","Placebo",0.699,"2020-08-12_266","2020-09-02","FM6","4","4","NH4","Placebo",0.67,"2020-09-02_266","2020-09-11","FM6","4","4","NH4","Placebo",0.585,"2020-09-11_266","2020-09-18","FM6","4","4","NH4","Placebo",0.619,"2020-09-18_266","2020-09-22","FM6","4","4","NH4","Placebo",0.599,"2020-09-22_266","2020-09-25","FM6","4","4","NH4","Placebo",0.588,"2020-09-25_266","2020-10-02","FM6","4","4","NH4","Placebo",0.596,"2020-10-02_266","2020-10-09","FM6","4","4","NH4","Placebo",0.605,"2020-10-09_266","2020-10-15","FM6","8","4","NH4","Placebo",0.597,"2020-10-15_266","2020-10-23","FM6","8","4","NH4","Placebo",0.563,"2020-10-23_266",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM6","8","4","NH4","Placebo",0.583,"2020-10-30_266","2020-11-06","FM6","6","4","NH4","Placebo",0.516,"2020-11-06_266"
"262","2020-08-12","FM14","2","7","NH4","Placebo",0.704,"2020-08-12_262","2020-09-02","FM14","1","7","NH4","Placebo",0.674,"2020-09-02_262","2020-09-11","FM14","1","7","NH4","Placebo",0.652,"2020-09-11_262","2020-09-18","FM14","7","7","NH4","Placebo",0.611,"2020-09-18_262","2020-09-22","FM14","7","7","NH4","Placebo",0.571,"2020-09-22_262","2020-09-25","FM14","7","7","NH4","Placebo",0.601,"2020-09-25_262","2020-10-02","FM14","7","7","NH4","Placebo",0.578,"2020-10-02_262","2020-10-09","FM14","7","7","NH4","Placebo",0.551,"2020-10-09_262","2020-10-15","FM14","7","7","NH4","Placebo",0.605,"2020-10-15_262","2020-10-23","FM14","7","7","NH4","Placebo",0.58,"2020-10-23_262",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","7","7","NH4","Placebo",0.583,"2020-10-30_262","2020-11-06","FM14","6","7","NH4","Placebo",0.529,"2020-11-06_262"
"263","2020-08-12","FM14","2","2","Ambient","Placebo",0.7,"2020-08-12_263","2020-09-02","FM14","8","2","Ambient","Placebo",0.589,"2020-09-02_263","2020-09-11","FM14","8","2","Ambient","Placebo",0.561,"2020-09-11_263","2020-09-18","FM14","2","2","Ambient","Placebo",0.62,"2020-09-18_263","2020-09-22","FM14","2","2","Ambient","Placebo",0.601,"2020-09-22_263","2020-09-25","FM14","2","2","Ambient","Placebo",0.56,"2020-09-25_263","2020-10-02","FM14","2","2","Ambient","Placebo",0.564,"2020-10-02_263","2020-10-09","FM14","2","2","Ambient","Placebo",0.511,"2020-10-09_263","2020-10-15","FM14","6","2","Ambient","Placebo",0.578,"2020-10-15_263","2020-10-23","FM14","6","2","Ambient","Placebo",0.506,"2020-10-23_263",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","6","2","Ambient","Placebo",0.55,"2020-10-30_263","2020-11-06","FM14","5","2","Ambient","Pathogen",0.542,"2020-11-06_263"
"264","2020-08-12","FM14","2","5","Ambient","Pathogen",0.704,"2020-08-12_264","2020-09-02","FM14","5","5","Ambient","Pathogen",0.619,"2020-09-02_264","2020-09-11","FM14","5","5","Ambient","Pathogen",0.638,"2020-09-11_264","2020-09-18","FM14","5","5","Ambient","Pathogen",0.623,"2020-09-18_264","2020-09-22","FM14","5","5","Ambient","Pathogen",0.546,"2020-09-22_264","2020-09-25","FM14","5","5","Ambient","Pathogen",0.594,"2020-09-25_264","2020-10-02","FM14","5","5","Ambient","Pathogen",0.609,"2020-10-02_264","2020-10-09","FM14","5","5","Ambient","Pathogen",0.598,"2020-10-09_264","2020-10-15","FM14","1","5","Ambient","Pathogen",0.59,"2020-10-15_264","2020-10-23","FM14","1","5","Ambient","Pathogen",0.576,"2020-10-23_264",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","1","5","Ambient","Pathogen",0.568,"2020-10-30_264","2020-11-06","FM14","1","5","Ambient","Pathogen",0.525,"2020-11-06_264"
"265","2020-08-12","FM14","2","3","NH4","Pathogen",0.705,"2020-08-12_265","2020-09-02","FM14","7","3","NH4","Pathogen",0.672,"2020-09-02_265","2020-09-11","FM14","3","3","NH4","Pathogen",0.609,"2020-09-11_265","2020-09-18","FM14","3","3","NH4","Pathogen",0.595,"2020-09-18_265","2020-09-22","FM14","3","3","NH4","Pathogen",0.585,"2020-09-22_265","2020-09-25","FM14","3","3","NH4","Pathogen",0.601,"2020-09-25_265","2020-10-02","FM14","3","3","NH4","Pathogen",0.556,"2020-10-02_265","2020-10-09","FM14","3","3","NH4","Pathogen",0.538,"2020-10-09_265","2020-10-15","FM14","3","3","NH4","Pathogen",0.589,"2020-10-15_265","2020-10-23","FM14","3","3","NH4","Pathogen",0.593,"2020-10-23_265",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","3","3","NH4","Pathogen",0.582,"2020-10-30_265","2020-11-06","FM14","2","3","NH4","Pathogen",0.549,"2020-11-06_265"
"268","2020-08-12","FM14","2","5","Ambient","Placebo",0.688,"2020-08-12_268","2020-09-02","FM14","5","5","Ambient","Placebo",0.676,"2020-09-02_268","2020-09-11","FM14","5","5","Ambient","Placebo",0.582,"2020-09-11_268","2020-09-18","FM14","5","5","Ambient","Placebo",0.595,"2020-09-18_268","2020-09-22","FM14","5","5","Ambient","Placebo",0.539,"2020-09-22_268","2020-09-25","FM14","5","5","Ambient","Placebo",0.554,"2020-09-25_268","2020-10-02","FM14","5","5","Ambient","Placebo",0.524,"2020-10-02_268","2020-10-09","FM14","5","5","Ambient","Placebo",0.52,"2020-10-09_268","2020-10-15","FM14","5","5","Ambient","Placebo",0.573,"2020-10-15_268","2020-10-23","FM14","5","5","Ambient","Placebo",0.552,"2020-10-23_268",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","5","5","Ambient","Placebo",0.575,"2020-10-30_268","2020-11-06","FM14","4","5","Ambient","Placebo",0.527,"2020-11-06_268"
"269","2020-08-12","FM14","2","3","NH4","Placebo",0.702,"2020-08-12_269","2020-09-02","FM14","7","3","NH4","Placebo",0.649,"2020-09-02_269","2020-09-11","FM14","3","3","NH4","Placebo",0.587,"2020-09-11_269","2020-09-18","FM14","3","3","NH4","Placebo",0.563,"2020-09-18_269","2020-09-22","FM14","3","3","NH4","Placebo",0.58,"2020-09-22_269","2020-09-25","FM14","3","3","NH4","Placebo",0.57,"2020-09-25_269","2020-10-02","FM14","3","3","NH4","Placebo",0.532,"2020-10-02_269","2020-10-09","FM14","3","3","NH4","Placebo",0.56,"2020-10-09_269","2020-10-15","FM14","7","3","NH4","Placebo",0.569,"2020-10-15_269","2020-10-23","FM14","7","3","NH4","Placebo",0.571,"2020-10-23_269",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","7","3","NH4","Placebo",0.587,"2020-10-30_269","2020-11-06","FM14","6","3","NH4","Placebo",0.548,"2020-11-06_269"
"270","2020-08-12","FM14","2","8","NH4","Pathogen",0.701,"2020-08-12_270","2020-09-02","FM14","2","8","NH4","Pathogen",0.569,"2020-09-02_270","2020-09-11","FM14","2","8","NH4","Pathogen",0.543,"2020-09-11_270","2020-09-18","FM14","8","8","NH4","Pathogen",0.575,"2020-09-18_270","2020-09-22","FM14","8","8","NH4","Pathogen",0.571,"2020-09-22_270","2020-09-25","FM14","8","8","NH4","Pathogen",0.549,"2020-09-25_270","2020-10-02","FM14","8","8","NH4","Pathogen",0.54,"2020-10-02_270","2020-10-09","FM14","8","8","NH4","Pathogen",0.535,"2020-10-09_270","2020-10-15","FM14","4","8","NH4","Pathogen",0.563,"2020-10-15_270","2020-10-23","FM14","4","8","NH4","Pathogen",0.564,"2020-10-23_270",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","4","8","NH4","Pathogen",0.54,"2020-10-30_270","2020-11-06","FM14","3","8","NH4","Pathogen",0.538,"2020-11-06_270"
"272","2020-08-12","FM14","2","4","NH4","Placebo",0.695,"2020-08-12_272","2020-09-02","FM14","4","4","NH4","Placebo",0.678,"2020-09-02_272","2020-09-11","FM14","4","4","NH4","Placebo",0.622,"2020-09-11_272","2020-09-18","FM14","4","4","NH4","Placebo",0.619,"2020-09-18_272","2020-09-22","FM14","4","4","NH4","Placebo",0.522,"2020-09-22_272","2020-09-25","FM14","4","4","NH4","Placebo",0.608,"2020-09-25_272","2020-10-02","FM14","4","4","NH4","Placebo",0.56,"2020-10-02_272","2020-10-09","FM14","4","4","NH4","Placebo",0.574,"2020-10-09_272","2020-10-15","FM14","8","4","NH4","Placebo",0.589,"2020-10-15_272","2020-10-23","FM14","8","4","NH4","Placebo",0.596,"2020-10-23_272",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","8","4","NH4","Placebo",0.594,"2020-10-30_272","2020-11-06","FM14","6","4","NH4","Placebo",0.538,"2020-11-06_272"
"273","2020-08-12","FM14","2","2","Ambient","Pathogen",0.703,"2020-08-12_273","2020-09-02","FM14","8","2","Ambient","Pathogen",0.674,"2020-09-02_273","2020-09-11","FM14","8","2","Ambient","Pathogen",0.607,"2020-09-11_273","2020-09-18","FM14","2","2","Ambient","Pathogen",0.555,"2020-09-18_273","2020-09-22","FM14","2","2","Ambient","Pathogen",0.593,"2020-09-22_273","2020-09-25","FM14","2","2","Ambient","Pathogen",0.589,"2020-09-25_273","2020-10-02","FM14","2","2","Ambient","Pathogen",0.587,"2020-10-02_273","2020-10-09","FM14","2","2","Ambient","Pathogen",0.521,"2020-10-09_273","2020-10-15","FM14","2","2","Ambient","Pathogen",0.566,"2020-10-15_273","2020-10-23","FM14","2","2","Ambient","Pathogen",0.569,"2020-10-23_273","2020-10-29","FM14","2","2","Ambient","Pathogen",0.546,"2020-10-29_273","2020-10-30","FM14","2","2","Ambient","Pathogen",0.509,"2020-10-30_273",NA,NA,NA,NA,NA,NA,NA,NA
"274","2020-08-12","FM14","2","6","Ambient","Pathogen",0.674,"2020-08-12_274","2020-09-02","FM14","6","6","Ambient","Pathogen",0.546,"2020-09-02_274","2020-09-11","FM14","6","6","Ambient","Pathogen",0.522,"2020-09-11_274","2020-09-18","FM14","6","6","Ambient","Pathogen",0.541,"2020-09-18_274","2020-09-22","FM14","6","6","Ambient","Pathogen",0.495,"2020-09-22_274","2020-09-25","FM14","6","6","Ambient","Pathogen",0.548,"2020-09-25_274","2020-10-02","FM14","6","6","Ambient","Pathogen",0.526,"2020-10-02_274","2020-10-09","FM14","6","6","Ambient","Pathogen",0.499,"2020-10-09_274","2020-10-15","FM14","2","6","Ambient","Pathogen",0.566,"2020-10-15_274","2020-10-23","FM14","2","6","Ambient","Pathogen",0.556,"2020-10-23_274","2020-10-29","FM14","2","6","Ambient","Pathogen",0.513,"2020-10-29_274","2020-10-30","FM14","2","6","Ambient","Pathogen",0.513,"2020-10-30_274",NA,NA,NA,NA,NA,NA,NA,NA
"275","2020-08-12","FM14","2","2","Ambient","Pathogen",0.697,"2020-08-12_275","2020-09-02","FM14","8","2","Ambient","Pathogen",0.663,"2020-09-02_275","2020-09-11","FM14","8","2","Ambient","Pathogen",0.626,"2020-09-11_275","2020-09-18","FM14","2","2","Ambient","Pathogen",0.601,"2020-09-18_275","2020-09-22","FM14","2","2","Ambient","Pathogen",0.587,"2020-09-22_275","2020-09-25","FM14","2","2","Ambient","Pathogen",0.538,"2020-09-25_275","2020-10-02","FM14","2","2","Ambient","Pathogen",0.588,"2020-10-02_275","2020-10-09","FM14","2","2","Ambient","Pathogen",0.578,"2020-10-09_275","2020-10-15","FM14","2","2","Ambient","Pathogen",0.594,"2020-10-15_275","2020-10-23","FM14","2","2","Ambient","Pathogen",0.583,"2020-10-23_275","2020-10-29","FM14","2","2","Ambient","Pathogen",0.551,"2020-10-29_275","2020-10-30","FM14","2","2","Ambient","Pathogen",0.531,"2020-10-30_275",NA,NA,NA,NA,NA,NA,NA,NA
"276","2020-08-12","FM14","2","5","Ambient","Placebo",0.68,"2020-08-12_276","2020-09-02","FM14","5","5","Ambient","Placebo",0.668,"2020-09-02_276","2020-09-11","FM14","5","5","Ambient","Placebo",0.626,"2020-09-11_276","2020-09-18","FM14","5","5","Ambient","Placebo",0.585,"2020-09-18_276","2020-09-22","FM14","5","5","Ambient","Placebo",0.578,"2020-09-22_276","2020-09-25","FM14","5","5","Ambient","Placebo",0.546,"2020-09-25_276","2020-10-02","FM14","5","5","Ambient","Placebo",0.548,"2020-10-02_276","2020-10-09","FM14","5","5","Ambient","Placebo",0.518,"2020-10-09_276","2020-10-15","FM14","5","5","Ambient","Placebo",0.578,"2020-10-15_276","2020-10-23","FM14","5","5","Ambient","Placebo",0.564,"2020-10-23_276",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","5","5","Ambient","Placebo",0.572,"2020-10-30_276","2020-11-06","FM14","4","5","Ambient","Placebo",0.524,"2020-11-06_276"
"277","2020-08-12","FM14","2","6","Ambient","Placebo",0.692,"2020-08-12_277","2020-09-02","FM14","6","6","Ambient","Placebo",0.645,"2020-09-02_277","2020-09-11","FM14","6","6","Ambient","Placebo",0.584,"2020-09-11_277","2020-09-18","FM14","6","6","Ambient","Placebo",0.563,"2020-09-18_277","2020-09-22","FM14","6","6","Ambient","Placebo",0.551,"2020-09-22_277","2020-09-25","FM14","6","6","Ambient","Placebo",0.555,"2020-09-25_277","2020-10-02","FM14","6","6","Ambient","Placebo",0.56,"2020-10-02_277","2020-10-09","FM14","6","6","Ambient","Placebo",0.555,"2020-10-09_277","2020-10-15","FM14","6","6","Ambient","Placebo",0.586,"2020-10-15_277","2020-10-23","FM14","6","6","Ambient","Placebo",0.577,"2020-10-23_277",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","6","6","Ambient","Placebo",0.563,"2020-10-30_277","2020-11-06","FM14","5","6","Ambient","Pathogen",0.558,"2020-11-06_277"
"279","2020-08-12","FM14","2","1","Ambient","Placebo",0.685,"2020-08-12_279","2020-09-02","FM14","3","1","Ambient","Placebo",0.6,"2020-09-02_279","2020-09-11","FM14","7","1","Ambient","Placebo",0.564,"2020-09-11_279","2020-09-18","FM14","1","1","Ambient","Placebo",0.593,"2020-09-18_279","2020-09-22","FM14","1","1","Ambient","Placebo",0.588,"2020-09-22_279","2020-09-25","FM14","1","1","Ambient","Placebo",0.57,"2020-09-25_279","2020-10-02","FM14","1","1","Ambient","Placebo",0.567,"2020-10-02_279","2020-10-09","FM14","1","1","Ambient","Placebo",0.58,"2020-10-09_279","2020-10-15","FM14","5","1","Ambient","Placebo",0.574,"2020-10-15_279","2020-10-23","FM14","5","1","Ambient","Placebo",0.561,"2020-10-23_279",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","5","1","Ambient","Placebo",0.571,"2020-10-30_279","2020-11-06","FM14","4","1","Ambient","Placebo",0.528,"2020-11-06_279"
"281","2020-08-12","FM14","2","1","Ambient","Pathogen",0.704,"2020-08-12_281","2020-09-02","FM14","3","1","Ambient","Pathogen",0.609,"2020-09-02_281","2020-09-11","FM14","7","1","Ambient","Pathogen",0.638,"2020-09-11_281","2020-09-18","FM14","1","1","Ambient","Pathogen",0.489,"2020-09-18_281","2020-09-22","FM14","1","1","Ambient","Pathogen",0.605,"2020-09-22_281","2020-09-25","FM14","1","1","Ambient","Pathogen",0.607,"2020-09-25_281","2020-10-02","FM14","1","1","Ambient","Pathogen",0.607,"2020-10-02_281","2020-10-09","FM14","1","1","Ambient","Pathogen",0.604,"2020-10-09_281","2020-10-15","FM14","1","1","Ambient","Pathogen",0.605,"2020-10-15_281","2020-10-23","FM14","1","1","Ambient","Pathogen",0.569,"2020-10-23_281",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","1","1","Ambient","Pathogen",0.569,"2020-10-30_281",NA,NA,NA,NA,NA,NA,NA,NA
"282","2020-08-12","FM14","2","8","NH4","Placebo",0.686,"2020-08-12_282","2020-09-02","FM14","2","8","NH4","Placebo",0.65,"2020-09-02_282","2020-09-11","FM14","2","8","NH4","Placebo",0.629,"2020-09-11_282","2020-09-18","FM14","8","8","NH4","Placebo",0.54,"2020-09-18_282","2020-09-22","FM14","8","8","NH4","Placebo",0.583,"2020-09-22_282","2020-09-25","FM14","8","8","NH4","Placebo",0.589,"2020-09-25_282","2020-10-02","FM14","8","8","NH4","Placebo",0.561,"2020-10-02_282","2020-10-09","FM14","8","8","NH4","Placebo",0.545,"2020-10-09_282","2020-10-15","FM14","8","8","NH4","Placebo",0.571,"2020-10-15_282","2020-10-23","FM14","8","8","NH4","Placebo",0.565,"2020-10-23_282",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","8","8","NH4","Placebo",0.553,"2020-10-30_282","2020-11-06","FM14","7","8","NH4","Placebo",0.519,"2020-11-06_282"
"283","2020-08-12","FM14","2","1","Ambient","Pathogen",0.697,"2020-08-12_283","2020-09-02","FM14","3","1","Ambient","Pathogen",0.573,"2020-09-02_283","2020-09-11","FM14","7","1","Ambient","Pathogen",0.607,"2020-09-11_283","2020-09-18","FM14","1","1","Ambient","Pathogen",0.583,"2020-09-18_283","2020-09-22","FM14","1","1","Ambient","Pathogen",0.568,"2020-09-22_283","2020-09-25","FM14","1","1","Ambient","Pathogen",0.568,"2020-09-25_283","2020-10-02","FM14","1","1","Ambient","Pathogen",0.54,"2020-10-02_283","2020-10-09","FM14","1","1","Ambient","Pathogen",0.516,"2020-10-09_283","2020-10-15","FM14","1","1","Ambient","Pathogen",0.601,"2020-10-15_283","2020-10-23","FM14","1","1","Ambient","Pathogen",0.548,"2020-10-23_283",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM14","1","1","Ambient","Pathogen",0.485,"2020-10-30_283",NA,NA,NA,NA,NA,NA,NA,NA
